index_name,month,year,value,source
igpm,10,2031.0,0.0394,previsto
igpm,11,2031.0,0.0394,previsto
igpm,12,2031.0,0.0394,previsto
ipca,1,2031.0,0.0362,previsto
ipca,2,2031.0,0.0362,previsto
ipca,3,2031.0,0.0362,previsto
ipca,4,2031.0,0.0362,previsto
ipca,5,2031.0,0.0362,previsto
ipca,6,2031.0,0.0362,previsto
ipca,7,2031.0,0.0362,previsto
ipca,8,2031.0,0.0362,previsto
ipca,9,2031.0,0.0362,previsto
ipca,10,2031.0,0.0362,previsto
ipca,11,2031.0,0.0362,previsto
ipca,12,2031.0,0.0362,previsto
inpc,1,2031.0,0.042,previsto
inpc,2,2031.0,0.042,previsto
inpc,3,2031.0,0.042,previsto
inpc,4,2031.0,0.042,previsto
inpc,5,2031.0,0.042,previsto
inpc,6,2031.0,0.042,previsto
inpc,7,2031.0,0.042,previsto
inpc,8,2031.0,0.042,previsto
inpc,9,2031.0,0.042,previsto
inpc,10,2031.0,0.042,previsto
inpc,11,2031.0,0.042,previsto
inpc,12,2031.0,0.042,previsto
igpm,1,2032.0,0.0394,previsto
igpm,2,2032.0,0.0394,previsto
igpm,3,2032.0,0.0394,previsto
igpm,4,2032.0,0.0394,previsto
igpm,5,2032.0,0.0394,previsto
igpm,6,2032.0,0.0394,previsto
igpm,7,2032.0,0.0394,previsto
igpm,8,2032.0,0.0394,previsto
igpm,9,2032.0,0.0394,previsto
igpm,10,2032.0,0.0394,previsto
igpm,11,2032.0,0.0394,previsto
igpm,12,2032.0,0.0394,previsto
ipca,1,2032.0,0.0362,previsto
ipca,2,2032.0,0.0362,previsto
ipca,3,2032.0,0.0362,previsto
ipca,4,2032.0,0.0362,previsto
ipca,5,2032.0,0.0362,previsto
ipca,6,2032.0,0.0362,previsto
ipca,7,2032.0,0.0362,previsto
ipca,8,2032.0,0.0362,previsto
ipca,9,2032.0,0.0362,previsto
ipca,10,2032.0,0.0362,previsto
ipca,11,2032.0,0.0362,previsto
ipca,12,2032.0,0.0362,previsto
inpc,1,2032.0,0.042,previsto
inpc,2,2032.0,0.042,previsto
inpc,3,2032.0,0.042,previsto
inpc,4,2032.0,0.042,previsto
inpc,5,2032.0,0.042,previsto
inpc,6,2032.0,0.042,previsto
inpc,7,2032.0,0.042,previsto
inpc,8,2032.0,0.042,previsto
inpc,9,2032.0,0.042,previsto
inpc,10,2032.0,0.042,previsto
inpc,11,2032.0,0.042,previsto
inpc,12,2032.0,0.042,previsto
igpm,1,2033.0,0.0394,previsto
igpm,2,2033.0,0.0394,previsto
igpm,3,2033.0,0.0394,previsto
igpm,4,2033.0,0.0394,previsto
igpm,5,2033.0,0.0394,previsto
igpm,6,2033.0,0.0394,previsto
igpm,7,2033.0,0.0394,previsto
igpm,8,2033.0,0.0394,previsto
igpm,9,2033.0,0.0394,previsto
igpm,10,2033.0,0.0394,previsto
igpm,11,2033.0,0.0394,previsto
igpm,12,2033.0,0.0394,previsto
ipca,1,2033.0,0.0362,previsto
ipca,2,2033.0,0.0362,previsto
ipca,3,2033.0,0.0362,previsto
ipca,4,2033.0,0.0362,previsto
ipca,5,2033.0,0.0362,previsto
ipca,6,2033.0,0.0362,previsto
ipca,7,2033.0,0.0362,previsto
ipca,8,2033.0,0.0362,previsto
ipca,9,2033.0,0.0362,previsto
ipca,10,2033.0,0.0362,previsto
ipca,11,2033.0,0.0362,previsto
ipca,12,2033.0,0.0362,previsto
inpc,1,2033.0,0.042,previsto
inpc,2,2033.0,0.042,previsto
inpc,3,2033.0,0.042,previsto
inpc,4,2033.0,0.042,previsto
inpc,5,2033.0,0.042,previsto
inpc,6,2033.0,0.042,previsto
inpc,7,2033.0,0.042,previsto
inpc,8,2033.0,0.042,previsto
inpc,9,2033.0,0.042,previsto
inpc,10,2033.0,0.042,previsto
inpc,11,2033.0,0.042,previsto
inpc,12,2033.0,0.042,previsto
igpm,1,2034.0,0.0394,previsto
igpm,2,2034.0,0.0394,previsto
igpm,3,2034.0,0.0394,previsto
igpm,4,2034.0,0.0394,previsto
igpm,5,2034.0,0.0394,previsto
igpm,6,2034.0,0.0394,previsto
igpm,7,2034.0,0.0394,previsto
igpm,8,2034.0,0.0394,previsto
igpm,9,2034.0,0.0394,previsto
igpm,10,2034.0,0.0394,previsto
igpm,11,2034.0,0.0394,previsto
igpm,12,2034.0,0.0394,previsto
ipca,1,2034.0,0.0362,previsto
ipca,2,2034.0,0.0362,previsto
ipca,3,2034.0,0.0362,previsto
ipca,4,2034.0,0.0362,previsto
ipca,5,2034.0,0.0362,previsto
ipca,6,2034.0,0.0362,previsto
ipca,7,2034.0,0.0362,previsto
ipca,8,2034.0,0.0362,previsto
ipca,9,2034.0,0.0362,previsto
ipca,10,2034.0,0.0362,previsto
ipca,11,2034.0,0.0362,previsto
ipca,12,2034.0,0.0362,previsto
inpc,1,2034.0,0.042,previsto
inpc,2,2034.0,0.042,previsto
inpc,3,2034.0,0.042,previsto
inpc,4,2034.0,0.042,previsto
inpc,5,2034.0,0.042,previsto
inpc,6,2034.0,0.042,previsto
inpc,7,2034.0,0.042,previsto
inpc,8,2034.0,0.042,previsto
inpc,9,2034.0,0.042,previsto
inpc,10,2034.0,0.042,previsto
inpc,11,2034.0,0.042,previsto
inpc,12,2034.0,0.042,previsto
igpm,1,2035.0,0.0394,previsto
igpm,2,2035.0,0.0394,previsto
igpm,3,2035.0,0.0394,previsto
igpm,4,2035.0,0.0394,previsto
igpm,5,2035.0,0.0394,previsto
igpm,6,2035.0,0.0394,previsto
igpm,7,2035.0,0.0394,previsto
igpm,8,2035.0,0.0394,previsto
igpm,9,2035.0,0.0394,previsto
igpm,10,2035.0,0.0394,previsto
igpm,11,2035.0,0.0394,previsto
igpm,12,2035.0,0.0394,previsto
ipca,1,2035.0,0.0362,previsto
ipca,2,2035.0,0.0362,previsto
ipca,3,2035.0,0.0362,previsto
ipca,4,2035.0,0.0362,previsto
ipca,5,2035.0,0.0362,previsto
ipca,6,2035.0,0.0362,previsto
ipca,7,2035.0,0.0362,previsto
ipca,8,2035.0,0.0362,previsto
ipca,9,2035.0,0.0362,previsto
ipca,10,2035.0,0.0362,previsto
ipca,11,2035.0,0.0362,previsto
ipca,12,2035.0,0.0362,previsto
inpc,1,2035.0,0.042,previsto
inpc,2,2035.0,0.042,previsto
inpc,3,2035.0,0.042,previsto
inpc,4,2035.0,0.042,previsto
inpc,5,2035.0,0.042,previsto
inpc,6,2035.0,0.042,previsto
inpc,7,2035.0,0.042,previsto
inpc,8,2035.0,0.042,previsto
inpc,9,2035.0,0.042,previsto
inpc,10,2035.0,0.042,previsto
inpc,11,2035.0,0.042,previsto
inpc,12,2035.0,0.042,previsto
igpm,1,2036.0,0.0394,previsto
igpm,2,2036.0,0.0394,previsto
igpm,3,2036.0,0.0394,previsto
igpm,4,2036.0,0.0394,previsto
igpm,5,2036.0,0.0394,previsto
igpm,6,2036.0,0.0394,previsto
igpm,7,2036.0,0.0394,previsto
igpm,8,2036.0,0.0394,previsto
igpm,9,2036.0,0.0394,previsto
igpm,10,2036.0,0.0394,previsto
igpm,11,2036.0,0.0394,previsto
igpm,12,2036.0,0.0394,previsto
ipca,1,2036.0,0.0362,previsto
ipca,2,2036.0,0.0362,previsto
ipca,3,2036.0,0.0362,previsto
ipca,4,2036.0,0.0362,previsto
ipca,5,2036.0,0.0362,previsto
ipca,6,2036.0,0.0362,previsto
ipca,7,2036.0,0.0362,previsto
ipca,8,2036.0,0.0362,previsto
ipca,9,2036.0,0.0362,previsto
ipca,10,2036.0,0.0362,previsto
ipca,11,2036.0,0.0362,previsto
ipca,12,2036.0,0.0362,previsto
inpc,1,2036.0,0.042,previsto
inpc,2,2036.0,0.042,previsto
inpc,3,2036.0,0.042,previsto
inpc,4,2036.0,0.042,previsto
inpc,5,2036.0,0.042,previsto
inpc,6,2036.0,0.042,previsto
inpc,7,2036.0,0.042,previsto
inpc,8,2036.0,0.042,previsto
inpc,9,2036.0,0.042,previsto
inpc,10,2036.0,0.042,previsto
inpc,11,2036.0,0.042,previsto
inpc,12,2036.0,0.042,previsto
igpm,1,2037.0,0.0394,previsto
igpm,2,2037.0,0.0394,previsto
igpm,3,2037.0,0.0394,previsto
igpm,4,2037.0,0.0394,previsto
igpm,5,2037.0,0.0394,previsto
igpm,6,2037.0,0.0394,previsto
igpm,7,2037.0,0.0394,previsto
igpm,8,2037.0,0.0394,previsto
igpm,9,2037.0,0.0394,previsto
igpm,10,2037.0,0.0394,previsto
igpm,11,2037.0,0.0394,previsto
igpm,12,2037.0,0.0394,previsto
ipca,1,2037.0,0.0362,previsto
ipca,2,2037.0,0.0362,previsto
ipca,3,2037.0,0.0362,previsto
ipca,4,2037.0,0.0362,previsto
ipca,5,2037.0,0.0362,previsto
ipca,6,2037.0,0.0362,previsto
ipca,7,2037.0,0.0362,previsto
ipca,8,2037.0,0.0362,previsto
ipca,9,2037.0,0.0362,previsto
ipca,10,2037.0,0.0362,previsto
ipca,11,2037.0,0.0362,previsto
ipca,12,2037.0,0.0362,previsto
inpc,1,2037.0,0.042,previsto
inpc,2,2037.0,0.042,previsto
inpc,3,2037.0,0.042,previsto
inpc,4,2037.0,0.042,previsto
inpc,5,2037.0,0.042,previsto
inpc,6,2037.0,0.042,previsto
inpc,7,2037.0,0.042,previsto
inpc,8,2037.0,0.042,previsto
inpc,9,2037.0,0.042,previsto
inpc,10,2037.0,0.042,previsto
inpc,11,2037.0,0.042,previsto
inpc,12,2037.0,0.042,previsto
igpm,1,2038.0,0.0394,previsto
igpm,2,2038.0,0.0394,previsto
igpm,3,2038.0,0.0394,previsto
igpm,4,2038.0,0.0394,previsto
igpm,5,2038.0,0.0394,previsto
igpm,6,2038.0,0.0394,previsto
igpm,7,2038.0,0.0394,previsto
igpm,8,2038.0,0.0394,previsto
igpm,9,2038.0,0.0394,previsto
igpm,10,2038.0,0.0394,previsto
igpm,11,2038.0,0.0394,previsto
igpm,12,2038.0,0.0394,previsto
ipca,1,2038.0,0.0362,previsto
ipca,2,2038.0,0.0362,previsto
ipca,3,2038.0,0.0362,previsto
ipca,4,2038.0,0.0362,previsto
ipca,5,2038.0,0.0362,previsto
ipca,6,2038.0,0.0362,previsto
ipca,7,2038.0,0.0362,previsto
ipca,8,2038.0,0.0362,previsto
ipca,9,2038.0,0.0362,previsto
ipca,10,2038.0,0.0362,previsto
ipca,11,2038.0,0.0362,previsto
ipca,12,2038.0,0.0362,previsto
inpc,1,2038.0,0.042,previsto
inpc,2,2038.0,0.042,previsto
inpc,3,2038.0,0.042,previsto
inpc,4,2038.0,0.042,previsto
inpc,5,2038.0,0.042,previsto
inpc,6,2038.0,0.042,previsto
inpc,7,2038.0,0.042,previsto
