id_transfer,liquidation_date,transfer_due_date,transfer_total_value,transfer_status,contract_id,bill_id,accrual,real_estate_agency_id,rental_value,damage_value,early_termination_value,early_termination_guarantee,damage_guarantee,transfer_parcel_cycle,transfer_real_rental_value,median_rental_value
1578218,2024-12-20,2024-12-20,1248.86,liquidated,367,2703822.0,2024-12-16,93,900.0,0.0,0.0,1,true,1,1248.86,1248.86
1542625,2024-09-20,2024-09-20,1043.53,liquidated,400,2718873.0,2024-09-16,93,1000.0,0.0,0.0,1,true,1,1043.53,1043.53
1542714,2024-10-18,2024-10-18,1043.53,liquidated,400,2718890.0,2024-10-15,93,1000.0,0.0,0.0,1,true,1,1043.53,1043.53
1542722,2024-11-22,2024-11-22,1043.53,liquidated,400,2718892.0,2024-11-18,93,1000.0,0.0,0.0,1,true,1,1043.53,1043.53
1542730,2024-12-20,2024-12-20,1023.53,liquidated,400,2718894.0,2024-12-16,93,1000.0,0.0,0.0,1,true,1,1023.53,1043.53
1603582,2024-02-14,2024-02-09,691.24,liquidated,405,2551232.0,2024-02-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1603549,2024-03-06,2024-03-06,691.24,liquidated,405,2551238.0,2024-03-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1603553,2024-04-05,2024-04-05,691.24,liquidated,405,2551241.0,2024-04-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1603566,2024-05-06,2024-05-06,691.24,liquidated,405,2551248.0,2024-05-02,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1603572,2024-06-06,2024-06-06,691.24,liquidated,405,2551252.0,2024-06-03,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568893,2024-07-05,2024-07-05,691.24,liquidated,405,2602553.0,2024-07-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568871,2024-08-06,2024-08-06,691.24,liquidated,405,2602555.0,2024-08-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568900,2024-09-06,2024-09-06,691.24,liquidated,405,2602557.0,2024-09-02,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568878,2024-10-04,2024-10-04,691.24,liquidated,405,2602559.0,2024-10-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568863,2024-11-06,2024-11-06,691.24,liquidated,405,2602561.0,2024-11-01,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568885,2024-12-06,2024-12-06,691.24,liquidated,405,2602563.0,2024-12-02,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1568908,2025-01-07,2025-01-07,691.24,liquidated,405,2602565.0,2025-01-02,93,556.0,0.0,0.0,1,true,1,691.24,691.24
1493176,2024-07-01,2024-06-28,726.82,liquidated,452,2715266.0,2024-06-24,93,667.2,0.0,0.0,1,true,1,726.82,1171.62
1576092,2024-07-15,2024-07-15,1171.62,liquidated,452,2610263.0,2024-07-10,93,1112.0,0.0,0.0,1,true,1,1171.62,1171.62
1576100,2024-08-16,2024-08-16,1171.62,liquidated,452,2610264.0,2024-08-12,93,1112.0,0.0,0.0,1,true,1,1171.62,1171.62
1576107,2024-09-13,2024-09-13,1171.62,liquidated,452,2610265.0,2024-09-10,93,1112.0,0.0,0.0,1,true,1,1171.62,1171.62
1576114,2024-10-15,2024-10-15,1171.62,liquidated,452,2610266.0,2024-10-10,93,1112.0,0.0,0.0,1,true,1,1171.62,1171.62
1576124,2024-11-14,2024-11-14,1171.62,liquidated,452,2610267.0,2024-11-11,93,1112.0,0.0,0.0,1,true,1,1171.62,1171.62
1576136,2024-12-13,2024-12-13,1139.62,liquidated,452,2610418.0,2024-12-10,93,1112.0,0.0,0.0,1,true,1,1139.62,1171.62
1591511,2024-07-17,2024-07-17,1133.47,liquidated,455,2625728.0,2024-07-12,93,1112.0,0.0,0.0,1,true,1,1133.47,1133.47
1591771,2024-08-16,2024-08-16,1133.47,liquidated,455,2625880.0,2024-08-12,93,1112.0,0.0,0.0,1,true,1,1133.47,1133.47
1591781,2024-09-13,2024-09-13,1133.47,liquidated,455,2625882.0,2024-09-10,93,1112.0,0.0,0.0,1,true,1,1133.47,1133.47
1591786,2024-10-15,2024-10-15,1133.47,liquidated,455,2625883.0,2024-10-10,93,1112.0,0.0,0.0,1,true,1,1133.47,1133.47
1591796,2024-11-14,2024-11-14,1133.47,liquidated,455,2625886.0,2024-11-11,93,1112.0,0.0,0.0,1,true,1,1133.47,1133.47
1591806,2024-12-13,2024-12-13,1133.47,liquidated,455,2625887.0,2024-12-10,93,1112.0,0.0,0.0,1,true,1,1133.47,1133.47
1573708,2024-10-18,2024-10-18,562.24,liquidated,482,2525659.0,2024-10-14,93,550.0,0.0,0.0,1,true,1,562.24,562.24
